"@EMGOJA Los de @LATAMAirlines para responder si tienen WIFI t piden datos estupidos.               ";"3";"-1"
"Realmente es vergonzoso el trato que le dan a los pasajeros frecuentes @LATAMAirlines Como compañia se cae todo lo…                ";"35";"-1"
"@LATAMAirlines lo abrieron vieron que lo rompieron y pusieron de nuevo un candado";"36";"-1"
"@LATAMAirlines cuantas personas abre su equipaje en el aeropuerto? Cuantas? Fue un equipaje despachado de acuerdo a…                ";"40";"-1"
"@LATAMAirlines el reclamos dos horas despues que aterrizo el avion y hoy un MAIL diciendo que lo tendriamos que hab…                ";"42";"-1"
"Asi quedo la guitarra que me destrozaron en @LATAMAirlines y hoy me dicen que no hay lugar a reclamos? Vuelo 503 Mi…                ";"48";"-1"
"Gracias @LATAMAirlines su servicio de respuesta a mis inquietudes e inconvenientes fue excelente y a tiempo.               ";"50";"-1"
"@LATAMAirlines Ya fue respondida y espero sea el ultimo dato solicitado";"62";"-1"
"@LATAMAirlines Hola, Estoy comprando un boleto, cuando estoy firmando el pago la pagina no me permite avanzar, dandole al boton \"continuar\"               ";"70";"-1"
"Para responder si tienen WIFI en un vuelo necesitan tanta burocracia? Con decir si o no suficiente. Pateticos.                ";"83";"-1"
"@jbaraqui ...cuando se presenta un cambio involuntario que si te permite solicitar la devolucion. Saludos.               ";"90";"-1"
"@cristian_gd @LATAMAirlines Animo CRISTIAN dudo q consigas algo               ";"99";"-1"
"@LATAMAirlines hay wi fi a bordo del vuelo a San Pablo               ";"115";"-1"
"@LATAMAirlines somos dos pasajeros y en la web solo nos permite descargar una tarjeta sola               ";"118";"-1"
"Que mala gestion y q ineficiencia para solucionar sus propios errores @LATAM_CO @LATAMAirlines               ";"131";"-1"
"@LATAMAirlines Perdieron mi maleta de LMA-CANCUN";"133";"-1"
"@LATAMAirlines Supervisora en el aeropuerto nos insulto y se fue sin ayudar con las conexiones y la estadia. Estamos sin regreso ni hotel               ";"135";"-1"
"@LATAMAirlines PEOR servicio alcliente";"144";"-1"
"Llego una maleta mia en el vuelo 503 @LATAM_CHI @LATAMAirlines @LATAMAirlinesUS y la recibi sin la mitad del contenido";"147";"-1"
"RT @enlascalles: @Aalliende @LATAM_CHI @LATAMAirlines Clasico! Es como que \"ellos\" se aburrieron de \"esperar\". Una locura               ";"150";"-1"
"@Aalliende @LatamIndignados @LATAM_CHI @LATAMAirlines Terrible atencion de una empresa que sugiereorontos cerrar               ";"159";"-1"
"@Aalliende @LATAM_CHI @LATAMAirlines Clasico! Es como que \"ellos\" se aburrieron de \"esperar\". Una locura               ";"178";"-1"
"@LatamIndignados @LATAM_PER @LATAMAirlines UDS. son una aerolinea #corrupta y unos rateros eso es lo que son. Mis 2 pasajes mas de $200.               ";"179";"-1"
"Latam Airlines nombra nuevo director ejecutivo en Colombia                ";"186";"-1"
"Alguien de @LATAMAirlines le puede decir a su Call Center que atiendan please!               ";"201";"-1"
"@LATAMAirlines O al mail matil9@yahoo.com               ";"210";"-1"
"@LATAMAirlines porque me cambian el asiento que seleccione en mi chequeo               ";"213";"-1"
"@LATAMAirlines LA2429 Silva Maria Matilde Ines . El codigo de reserva es YMVIF'               ";"217";"-1"
